Year,Diseases Name,State,Deaths,Age-adjusted Death Rate
1999,Alzheimer's disease,Punjab,756,24.5
2016,Alzheimer's disease,Assam,1035,20.3
2015,Alzheimer's disease,Assam,966,19
2014,Alzheimer's disease,Assam,923,18.4
2013,Alzheimer's disease,Assam,824,16.2
2012,Alzheimer's disease,Assam,842,16.8
2011,Alzheimer's disease,Assam,813,16.4
2010,Alzheimer's disease,Assam,820,17.1
2009,Alzheimer's disease,Assam,778,16.3
2008,Alzheimer's disease,Assam,839,17.8
2007,Alzheimer's disease,Assam,764,16.6
2006,Alzheimer's disease,Assam,728,16
2005,Alzheimer's disease,Assam,777,17.4
2004,Alzheimer's disease,Assam,684,15.7
2003,Alzheimer's disease,Assam,612,14.2
2002,Alzheimer's disease,Assam,570,13.6
2001,Alzheimer's disease,Assam,573,14
2000,Alzheimer's disease,Assam,526,13.1
1999,Alzheimer's disease,Assam,449,11.4
2016,Alzheimer's disease,Bihar,329,27.4
2015,Alzheimer's disease,Bihar,264,22.6
2014,Alzheimer's disease,Bihar,188,16.6
2013,Alzheimer's disease,Bihar,192,17.6
2012,Alzheimer's disease,Bihar,213,20.2
2011,Alzheimer's disease,Bihar,203,20
2010,Alzheimer's disease,Bihar,215,21.9
2009,Alzheimer's disease,Bihar,163,16.9
2008,Alzheimer's disease,Bihar,204,21.7
2007,Alzheimer's disease,Bihar,201,22.1
2006,Alzheimer's disease,Bihar,189,21.6
2005,Alzheimer's disease,Bihar,180,21.2
2004,Alzheimer's disease,Bihar,155,19
2003,Alzheimer's disease,Bihar,147,18.6
2002,Alzheimer's disease,Bihar,128,16.7
2001,Alzheimer's disease,Bihar,135,18
2000,Alzheimer's disease,Bihar,110,15.1
1999,Alzheimer's disease,Bihar,107,15
2016,Alzheimer's disease,Haryana,120,18.3
2015,Alzheimer's disease,Haryana,129,19.2
2014,Alzheimer's disease,Haryana,119,18.3
2013,Alzheimer's disease,Haryana,130,19.8
2012,Alzheimer's disease,Haryana,129,20.5
2011,Alzheimer's disease,Haryana,120,19.6
2010,Alzheimer's disease,Haryana,114,18.7
2009,Alzheimer's disease,Haryana,94,15.7
2008,Alzheimer's disease,Haryana,132,22.5
2007,Alzheimer's disease,Haryana,140,24
2006,Alzheimer's disease,Haryana,117,20.7
2005,Alzheimer's disease,Haryana,112,19.7
2004,Alzheimer's disease,Haryana,119,21.2
2003,Alzheimer's disease,Haryana,95,17
2002,Alzheimer's disease,Haryana,107,19
2001,Alzheimer's disease,Haryana,99,17.5
2000,Alzheimer's disease,Haryana,75,13.1
1999,Alzheimer's disease,Haryana,53,9.5
2016,Alzheimer's disease,Jammmu and Kashmir,7155,21.5
2015,Alzheimer's disease,Jammmu and Kashmir,7031,21.8
2014,Alzheimer's disease,Jammmu and Kashmir,5874,18.8
2013,Alzheimer's disease,Jammmu and Kashmir,5093,16.9
2012,Alzheimer's disease,Jammmu and Kashmir,4422,15.2
2011,Alzheimer's disease,Jammmu and Kashmir,4507,16
2010,Alzheimer's disease,Jammmu and Kashmir,4831,18.1
2009,Alzheimer's disease,Jammmu and Kashmir,4617,17.6
2008,Alzheimer's disease,Jammmu and Kashmir,4743,18.6
2007,Alzheimer's disease,Jammmu and Kashmir,4644,18.7
2006,Alzheimer's disease,Jammmu and Kashmir,4689,19.3
2005,Alzheimer's disease,Jammmu and Kashmir,4608,19.4
2004,Alzheimer's disease,Jammmu and Kashmir,4307,18.6
2003,Alzheimer's disease,Jammmu and Kashmir,4316,18.9
2002,Alzheimer's disease,Jammmu and Kashmir,4052,18.1
2001,Alzheimer's disease,Jammmu and Kashmir,3643,16.4
2000,Alzheimer's disease,Jammmu and Kashmir,3265,15
1999,Alzheimer's disease,Jammmu and Kashmir,3059,14.3
2016,Alzheimer's disease,Gujrat,4021,44.8
2015,Alzheimer's disease,Gujrat,3714,42.4
2014,Alzheimer's disease,Gujrat,2670,31.7
2013,Alzheimer's disease,Gujrat,2048,25
2012,Alzheimer's disease,Gujrat,2074,26.2
2011,Alzheimer's disease,Gujrat,2218,28.9
2010,Alzheimer's disease,Gujrat,2080,28.3
2009,Alzheimer's disease,Gujrat,1865,25.9
2008,Alzheimer's disease,Gujrat,1929,27.5
2007,Alzheimer's disease,Gujrat,1849,27.2
2006,Alzheimer's disease,Gujrat,1820,27.5
2005,Alzheimer's disease,Gujrat,1745,27.4
2004,Alzheimer's disease,Gujrat,1710,27.8
2003,Alzheimer's disease,Gujrat,1630,26.9
2002,Alzheimer's disease,Gujrat,1525,25.5
2001,Alzheimer's disease,Gujrat,1419,24.1
2000,Alzheimer's disease,Gujrat,1235,21.3
1999,Alzheimer's disease,Gujrat,1080,18.8
2016,Alzheimer's disease,Odisha,445,20.1
2015,Alzheimer's disease,Odisha,422,19.5
2014,Alzheimer's disease,Odisha,326,15
2013,Alzheimer's disease,Odisha,260,12.6
2012,Alzheimer's disease,Odisha,249,12.4
2011,Alzheimer's disease,Odisha,197,10.4
2010,Alzheimer's disease,Odisha,189,10.5
2009,Alzheimer's disease,Odisha,253,14.8
2008,Alzheimer's disease,Odisha,218,13.3
2007,Alzheimer's disease,Odisha,247,15.7
2006,Alzheimer's disease,Odisha,201,13.2
2005,Alzheimer's disease,Odisha,192,13.1
2004,Alzheimer's disease,Odisha,171,12.2
2003,Alzheimer's disease,Odisha,161,11.9
2002,Alzheimer's disease,Odisha,141,10.9
2001,Alzheimer's disease,Odisha,122,9.8
2000,Alzheimer's disease,Odisha,118,10
1999,Alzheimer's disease,Odisha,109,9.4
2016,Alzheimer's disease,Kerala,607,33.9
2015,Alzheimer's disease,Kerala,552,31.6
2014,Alzheimer's disease,Kerala,376,22.4
2013,Alzheimer's disease,Kerala,347,21
2012,Alzheimer's disease,Kerala,354,21.9
2011,Alzheimer's disease,Kerala,409,25.7
2010,Alzheimer's disease,Kerala,410,26.8
2009,Alzheimer's disease,Kerala,369,24.7
2008,Alzheimer's disease,Kerala,393,27.2
2007,Alzheimer's disease,Kerala,416,29.4
2006,Alzheimer's disease,Kerala,400,29
2005,Alzheimer's disease,Kerala,407,30.7
2004,Alzheimer's disease,Kerala,343,26.7
2003,Alzheimer's disease,Kerala,355,28.3
2002,Alzheimer's disease,Kerala,318,26.1
2001,Alzheimer's disease,Kerala,294,24.7
2000,Alzheimer's disease,Kerala,262,22.6
1999,Alzheimer's disease,Kerala,243,21.4
2016,Alzheimer's disease,Madhya Pradesh,3877,25.4
2015,Alzheimer's disease,Madhya Pradesh,3686,24.4
2014,Alzheimer's disease,Madhya Pradesh,3266,21.9
2013,Alzheimer's disease,Madhya Pradesh,2919,19.8
2012,Alzheimer's disease,Madhya Pradesh,2865,19.8
2011,Alzheimer's disease,Madhya Pradesh,2910,20.4
2010,Alzheimer's disease,Madhya Pradesh,2927,20.9
2009,Alzheimer's disease,Madhya Pradesh,2891,21
2008,Alzheimer's disease,Madhya Pradesh,3192,23.6
2007,Alzheimer's disease,Madhya Pradesh,2734,20.5
2006,Alzheimer's disease,Madhya Pradesh,2794,21.3
2005,Alzheimer's disease,Madhya Pradesh,2827,21.9
2004,Alzheimer's disease,Madhya Pradesh,2595,20.4
2003,Alzheimer's disease,Madhya Pradesh,2626,20.9
2002,Alzheimer's disease,Madhya Pradesh,2398,19.3
2001,Alzheimer's disease,Madhya Pradesh,2163,17.5
2000,Alzheimer's disease,Madhya Pradesh,2154,17.7
1999,Alzheimer's disease,Madhya Pradesh,1908,15.9
2016,Alzheimer's disease,Manipur,2678,34.9
2015,Alzheimer's disease,Manipur,2513,33.1
2014,Alzheimer's disease,Manipur,2204,29.4
2013,Alzheimer's disease,Manipur,2104,28.5
2012,Alzheimer's disease,Manipur,2038,28.1
2011,Alzheimer's disease,Manipur,2058,28.9
2010,Alzheimer's disease,Manipur,1940,27.8
2009,Alzheimer's disease,Manipur,1884,27.4
2008,Alzheimer's disease,Manipur,1971,29.3
2007,Alzheimer's disease,Manipur,1663,25.1
2006,Alzheimer's disease,Manipur,1696,26.1
2005,Alzheimer's disease,Manipur,1651,26
2004,Alzheimer's disease,Manipur,1552,24.9
2003,Alzheimer's disease,Manipur,1515,24.6
2002,Alzheimer's disease,Manipur,1475,24.3
2001,Alzheimer's disease,Manipur,1231,20.5
2000,Alzheimer's disease,Manipur,1209,20.4
1999,Alzheimer's disease,Manipur,1106,18.9
2016,Alzheimer's disease,Nagaland,1415,31.3
2015,Alzheimer's disease,Nagaland,1339,29.9
2014,Alzheimer's disease,Nagaland,1313,29.6
2013,Alzheimer's disease,Nagaland,1252,28.2
2012,Alzheimer's disease,Nagaland,1336,30.5
2011,Alzheimer's disease,Nagaland,1406,32.4
2010,Alzheimer's disease,Nagaland,1411,32.9
2009,Alzheimer's disease,Nagaland,1265,29.9
2008,Alzheimer's disease,Nagaland,1332,31.5
2007,Alzheimer's disease,Nagaland,1202,28.7
2006,Alzheimer's disease,Nagaland,1121,27
2005,Alzheimer's disease,Nagaland,1082,26.5
2004,Alzheimer's disease,Nagaland,968,24
2003,Alzheimer's disease,Nagaland,887,22.1
2002,Alzheimer's disease,Nagaland,899,22.6
2001,Alzheimer's disease,Nagaland,863,21.8
2000,Alzheimer's disease,Nagaland,769,19.7
1999,Alzheimer's disease,Nagaland,706,18.2
2016,Alzheimer's disease,Rajasthan,855,23.1
2015,Alzheimer's disease,Rajasthan,865,23.5
2014,Alzheimer's disease,Rajasthan,790,21.9
2013,Alzheimer's disease,Rajasthan,742,20.8
2012,Alzheimer's disease,Rajasthan,789,22.5
2011,Alzheimer's disease,Rajasthan,795,22.6
2010,Alzheimer's disease,Rajasthan,825,24.2
2009,Alzheimer's disease,Rajasthan,802,23.9
2008,Alzheimer's disease,Rajasthan,961,28.8
2007,Alzheimer's disease,Rajasthan,860,25.8
2006,Alzheimer's disease,Rajasthan,830,25.1
2005,Alzheimer's disease,Rajasthan,912,28.1
2004,Alzheimer's disease,Rajasthan,769,24.1
2003,Alzheimer's disease,Rajasthan,781,24.7
2002,Alzheimer's disease,Rajasthan,755,24.1
2001,Alzheimer's disease,Rajasthan,642,20.5
2000,Alzheimer's disease,Rajasthan,630,20.2
1999,Alzheimer's disease,Rajasthan,511,16.6
2016,Alzheimer's disease,Sikkim,1728,35.1
2015,Alzheimer's disease,Sikkim,1694,34.9
2014,Alzheimer's disease,Sikkim,1523,32.1
2013,Alzheimer's disease,Sikkim,1462,31.4
2012,Alzheimer's disease,Sikkim,1506,33
2011,Alzheimer's disease,Sikkim,1459,32.5
2010,Alzheimer's disease,Sikkim,1464,33.5
2009,Alzheimer's disease,Sikkim,1345,31.3
2008,Alzheimer's disease,Sikkim,1370,32.3
2007,Alzheimer's disease,Sikkim,1198,28.7
2006,Alzheimer's disease,Sikkim,1153,28.1
2005,Alzheimer's disease,Sikkim,1147,28.7
2004,Alzheimer's disease,Sikkim,982,25.1
2003,Alzheimer's disease,Sikkim,1072,27.7
2002,Alzheimer's disease,Sikkim,1013,26.3
2001,Alzheimer's disease,Sikkim,966,25.1
2000,Alzheimer's disease,Sikkim,845,22.1
1999,Alzheimer's disease,Sikkim,728,19.3
2016,Alzheimer's disease,Tamil Nadu,2195,45
2015,Alzheimer's disease,Tamil Nadu,2018,42.5
2014,Alzheimer's disease,Tamil Nadu,1670,36
2013,Alzheimer's disease,Tamil Nadu,1505,32.9
2012,Alzheimer's disease,Tamil Nadu,1399,31.6
2011,Alzheimer's disease,Tamil Nadu,1406,32.4
2010,Alzheimer's disease,Tamil Nadu,1295,30.8
2009,Alzheimer's disease,Tamil Nadu,1336,32.3
2008,Alzheimer's disease,Tamil Nadu,1361,33.4
2007,Alzheimer's disease,Tamil Nadu,1324,33.3
2006,Alzheimer's disease,Tamil Nadu,1282,32.9
2005,Alzheimer's disease,Tamil Nadu,1405,34.8
2004,Alzheimer's disease,Tamil Nadu,1267,32
2003,Alzheimer's disease,Tamil Nadu,1184,30
2002,Alzheimer's disease,Tamil Nadu,1111,28.5
2001,Alzheimer's disease,Tamil Nadu,957,24.6
2000,Alzheimer's disease,Tamil Nadu,811,20.9
1999,Alzheimer's disease,Tamil Nadu,683,17.9
2016,Alzheimer's disease,Uttar Pradesh,577,29.6
2015,Alzheimer's disease,Uttar Pradesh,544,28.4
2014,Alzheimer's disease,Uttar Pradesh,434,22.7
2013,Alzheimer's disease,Uttar Pradesh,401,21.6
2012,Alzheimer's disease,Uttar Pradesh,432,23.5
2011,Alzheimer's disease,Uttar Pradesh,481,26.8
2010,Alzheimer's disease,Uttar Pradesh,502,28.6
2009,Alzheimer's disease,Uttar Pradesh,466,26.9
2008,Alzheimer's disease,Uttar Pradesh,450,26.3
2007,Alzheimer's disease,Uttar Pradesh,470,28.1
2006,Alzheimer's disease,Uttar Pradesh,477,29.2
2005,Alzheimer's disease,Uttar Pradesh,476,29.9
2004,Alzheimer's disease,Uttar Pradesh,512,32.7
2003,Alzheimer's disease,Uttar Pradesh,467,30.2
2002,Alzheimer's disease,Uttar Pradesh,513,33.6
2001,Alzheimer's disease,Uttar Pradesh,471,31.3
2000,Alzheimer's disease,Uttar Pradesh,466,31.6
1999,Alzheimer's disease,Uttar Pradesh,429,29.6
2016,Alzheimer's disease,Delhi,1178,17.4
2015,Alzheimer's disease,Delhi,1095,16.4
2014,Alzheimer's disease,Delhi,934,14.5
2013,Alzheimer's disease,Delhi,919,14.3
2012,Alzheimer's disease,Delhi,906,14.7
2011,Alzheimer's disease,Delhi,922,15.1
2010,Alzheimer's disease,Delhi,986,16.8
2009,Alzheimer's disease,Delhi,937,16.3
2008,Alzheimer's disease,Delhi,1016,18.2
2007,Alzheimer's disease,Delhi,881,16.2
2006,Alzheimer's disease,Delhi,915,17.3
2005,Alzheimer's disease,Delhi,958,18.7
2004,Alzheimer's disease,Delhi,905,18.3
2003,Alzheimer's disease,Delhi,865,17.8
2002,Alzheimer's disease,Delhi,866,18.4
2001,Alzheimer's disease,Delhi,948,20.5
2000,Alzheimer's disease,Delhi,811,18
1999,Alzheimer's disease,Delhi,681,15.4
2016,Alzheimer's disease,Maharashtra,1708,18.6
2015,Alzheimer's disease,Maharashtra,1815,20.2
2014,Alzheimer's disease,Maharashtra,1688,19
2013,Alzheimer's disease,Maharashtra,1699,19.4
2012,Alzheimer's disease,Maharashtra,1713,19.8
2011,Alzheimer's disease,Maharashtra,1819,21.2
2010,Alzheimer's disease,Maharashtra,1773,21.2
2009,Alzheimer's disease,Maharashtra,1700,20.6
2008,Alzheimer's disease,Maharashtra,1832,22.5
2007,Alzheimer's disease,Maharashtra,1695,21.1
2006,Alzheimer's disease,Maharashtra,1560,19.8
2005,Alzheimer's disease,Maharashtra,1638,21.1
2004,Alzheimer's disease,Maharashtra,1673,22
2003,Alzheimer's disease,Maharashtra,1609,21.3
2002,Alzheimer's disease,Maharashtra,1570,21.2
2001,Alzheimer's disease,Maharashtra,1533,20.9
2000,Alzheimer's disease,Maharashtra,1433,19.8
1999,Alzheimer's disease,Maharashtra,1182,16.5
2016,Alzheimer's disease,West Bengal,4249,33.6
2015,Alzheimer's disease,West Bengal,3771,30.1
2014,Alzheimer's disease,West Bengal,3349,27
2013,Alzheimer's disease,West Bengal,3220,26.4
2012,Alzheimer's disease,West Bengal,3064,25.6
2011,Alzheimer's disease,West Bengal,2876,24.6
2010,Alzheimer's disease,West Bengal,2736,24
2009,Alzheimer's disease,West Bengal,2578,22.9
2008,Alzheimer's disease,West Bengal,2739,24.8
2007,Alzheimer's disease,West Bengal,2432,22.4
2006,Alzheimer's disease,West Bengal,2331,22
2005,Alzheimer's disease,West Bengal,2359,22.9
2004,Alzheimer's disease,West Bengal,2232,22
2003,Alzheimer's disease,West Bengal,2133,21.4
2002,Alzheimer's disease,West Bengal,1958,20
2001,Alzheimer's disease,West Bengal,1803,18.8
2000,Alzheimer's disease,West Bengal,1646,17.5
1999,Alzheimer's disease,West Bengal,1431,15.4
2016,Alzheimer's disease,Chandigarh,4153,37.2
2015,Alzheimer's disease,Chandigarh,3803,34.8
2014,Alzheimer's disease,Chandigarh,3246,30.5
2013,Alzheimer's disease,Chandigarh,2872,27.7
2012,Alzheimer's disease,Chandigarh,2850,28.4
2011,Alzheimer's disease,Chandigarh,2828,29.3
2010,Alzheimer's disease,Chandigarh,2817,30.3
2009,Alzheimer's disease,Chandigarh,2646,29.2
2008,Alzheimer's disease,Chandigarh,2624,29.8
2007,Alzheimer's disease,Chandigarh,2460,28.7
2006,Alzheimer's disease,Chandigarh,2265,27.3
2005,Alzheimer's disease,Chandigarh,2417,30.5
2004,Alzheimer's disease,Chandigarh,2188,28.4
2003,Alzheimer's disease,Chandigarh,2145,28.3
2002,Alzheimer's disease,Chandigarh,1962,26.6
2001,Alzheimer's disease,Chandigarh,1786,24.6
2000,Alzheimer's disease,Chandigarh,1725,24.3
1999,Alzheimer's disease,Chandigarh,1456,20.8
2016,Alzheimer's disease,Lakshadweep,5031,33.4
2015,Alzheimer's disease,Lakshadweep,4643,31.1
2014,Alzheimer's disease,Lakshadweep,4083,27.7
2013,Alzheimer's disease,Lakshadweep,3798,26
2012,Alzheimer's disease,Lakshadweep,3935,27.4
2011,Alzheimer's disease,Lakshadweep,4037,28.5
2010,Alzheimer's disease,Lakshadweep,4109,29.7
2009,Alzheimer's disease,Lakshadweep,3879,28.5
2008,Alzheimer's disease,Lakshadweep,4285,32
2007,Alzheimer's disease,Lakshadweep,3671,27.9
2006,Alzheimer's disease,Lakshadweep,3565,27.7
2005,Alzheimer's disease,Lakshadweep,3478,27.7
2004,Alzheimer's disease,Lakshadweep,2927,23.7
2003,Alzheimer's disease,Lakshadweep,2902,23.7
2002,Alzheimer's disease,Lakshadweep,2599,21.7
2001,Alzheimer's disease,Lakshadweep,2367,20
2000,Alzheimer's disease,Lakshadweep,2295,19.7
1999,Alzheimer's disease,Lakshadweep,2099,18.2
2016,Alzheimer's disease,Goa,1590,36.1
2015,Alzheimer's disease,Goa,1498,34.7
2014,Alzheimer's disease,Goa,1227,28.9
2013,Alzheimer's disease,Goa,1145,27.6
2012,Alzheimer's disease,Goa,1069,26.3
2011,Alzheimer's disease,Goa,1130,28.2
2010,Alzheimer's disease,Goa,1015,26.1
2009,Alzheimer's disease,Goa,993,25.8
2008,Alzheimer's disease,Goa,1061,28
2007,Alzheimer's disease,Goa,927,24.8
2006,Alzheimer's disease,Goa,928,25.2
2005,Alzheimer's disease,Goa,1012,28
2004,Alzheimer's disease,Goa,867,24.2
2003,Alzheimer's disease,Goa,794,22.1
2002,Alzheimer's disease,Goa,754,21.1
2001,Alzheimer's disease,Goa,682,19
2000,Alzheimer's disease,Goa,638,17.7
1999,Alzheimer's disease,Goa,553,15.4
2016,Cancer,Andhra Pradesh,10419,174
2015,Cancer,Andhra Pradesh,10354,175.6
2014,Cancer,Andhra Pradesh,10286,177.6
2013,Cancer,Andhra Pradesh,10328,182.2
2012,Cancer,Andhra Pradesh,10276,185.2
2011,Cancer,Andhra Pradesh,10233,187.8
2010,Cancer,Andhra Pradesh,10196,191.7
2009,Cancer,Andhra Pradesh,10289,196.3
2008,Cancer,Andhra Pradesh,10182,197.5
2007,Cancer,Andhra Pradesh,10025,198.7
2006,Cancer,Andhra Pradesh,9899,199.4
2005,Cancer,Andhra Pradesh,9913,204.4
2004,Cancer,Andhra Pradesh,9756,204.5
2003,Cancer,Andhra Pradesh,9812,208.2
2002,Cancer,Andhra Pradesh,9698,208.3
2001,Cancer,Andhra Pradesh,9801,213
2000,Cancer,Andhra Pradesh,9807,215.4
1999,Cancer,Andhra Pradesh,9506,210.9
2016,Cancer,Arunachal Pradesh,995,158.7
2015,Cancer,Arunachal Pradesh,978,159.8
2014,Cancer,Arunachal Pradesh,972,164.2
2013,Cancer,Arunachal Pradesh,1016,172
2012,Cancer,Arunachal Pradesh,925,166.5
2011,Cancer,Arunachal Pradesh,935,175.5
2010,Cancer,Arunachal Pradesh,884,176.9
2009,Cancer,Arunachal Pradesh,895,183
2008,Cancer,Arunachal Pradesh,867,181.1
2007,Cancer,Arunachal Pradesh,839,182.6
2006,Cancer,Arunachal Pradesh,790,177.8
2005,Cancer,Arunachal Pradesh,732,171
2004,Cancer,Arunachal Pradesh,728,184.2
2003,Cancer,Arunachal Pradesh,735,188.4
2002,Cancer,Arunachal Pradesh,715,189.8
2001,Cancer,Arunachal Pradesh,689,193.7
2000,Cancer,Arunachal Pradesh,704,208.2
1999,Cancer,Arunachal Pradesh,633,190.5
2016,Cancer,Pondicherry,11876,136.8
2015,Cancer,Pondicherry,11776,141.3
2014,Cancer,Pondicherry,11455,142.7
2013,Cancer,Pondicherry,11347,147
2012,Cancer,Pondicherry,11085,148.6
2011,Cancer,Pondicherry,10690,148.5
2010,Cancer,Pondicherry,10678,154.2
2009,Cancer,Pondicherry,10271,152
2008,Cancer,Pondicherry,10081,153.2
2007,Cancer,Pondicherry,10134,158.9
2006,Cancer,Pondicherry,9919,160
